Sno,Name,Unit,Created Date,Service,Category,Enable Asset Tracking,Notes,Commodity Code,Sub CommodityCode,Std cost updated,Product Line Segment,Foreign Name,GL Account Code
22,BTHRM-957 1429OZ,Carton,2024-05-14T09:57:01Z,,Hydraulic Fluids,TRUE,,,,908.55,,,
23,HD-245 566L,Box,2024-08-03T06:45:56Z,,Lubricating Oils,FALSE,,Medical Supplies (M060101),Sterile Gloves (M070101),474.38,,,
24,DISINFECT-295 2776KG,Each,2024-03-21T13:14:00Z,,Welding Rods,FALSE,,Construction Materials (C040201),Paper products (X010201),552.83,,,
25,SCRUB-539 1860ML,Each,2024-06-05T23:56:20Z,,Electrical Cables,FALSE,,,,950.47,,,
26,BTHRM-408 174L,Box,2024-03-04T06:01:13Z,,Industrial Adhesives,TRUE,,,,201.34,,,
27,HD-828 873GAL,Carton,2024-04-30T17:38:04Z,,Stainless Steel Fasteners,FALSE,,,,111.56,,,
28,HD-848 2101GAL,Box,2024-08-26T13:05:19Z,,HVAC Filters,TRUE,,,,168.85,,,
29,CLNR-575 2454GAL,Box,2024-01-04T13:21:39Z,,Safety Helmets,TRUE,,,,829.16,,,
30,SN-724 12ML,Carton,2024-08-26T13:05:19Z,,Fire-Resistant Fabrics,TRUE,,Chemicals products (W050701),,738.49,,,
31,BK-986 103L,Carton,2024-10-20T01:51:15Z,,,TRUE,,Graphic chain pack design (X030101),Advert. agency fees (X020101),525.04,,,
32,BK-654 993OZ,Each,2024-07-07T13:17:42Z,,Glass Wool Insulation,FALSE,,Office Supplies (W050801),APO Services (V050401),912.54,,,
33,AC-168 2713OZ,Box,2024-02-08T07:34:27Z,,Roofing Shingles,FALSE,,Cement (C020301),Paper products (X010201),260.23,,,
34,AC-596 2248GAL,Carton,2024-08-23T08:52:38Z,,Sandpaper Rolls,TRUE,,Vehicle Maintenance (M030501),,497.93,,,
35,SCRUB-739 988KG,Box,2024-07-01T07:38:38Z,,Brass Fittings,TRUE,,,Cement (C020301),528.25,,,
36,SN-554 112OZ,Each,2024-10-23T13:01:35Z,,Tungsten Electrodes,TRUE,,Sterile Gloves (M070101),Cement (C020301),964.03,,,
37,LX-481 751ML,Each,2024-03-25T05:28:54Z,,Industrial Solvents,FALSE,,Advert. agency fees (X020101),,873.94,,,
38,DISINFECT-625 1235ML,Box,2024-08-06T08:48:25Z,,Water Treatment Chemicals,TRUE,,APO Services (V050401),,312.611,,,
39,PRD-567 1676GAL,Carton,2024-04-20T13:04:15Z,,"Bearings, Ball-Type",TRUE,,Paper products (X010201),,354.77,,,
40,SCRUB-109 1372OZ,Box,2023-12-12T09:23:28Z,,Chain Belts,TRUE,,Medical Supplies (M060101),,798.02,,,
41,DISINFECT-991 1382KG,Box,2024-09-10T20:17:08Z,,Conveyor Rollers,TRUE,,Construction Materials (C040201),Sterile Gloves (M070101),520.96,,,
42,CLNR-170 1408OZ,Carton,2024-02-15T13:17:21Z,,Pneumatic Tools,FALSE,,Chemicals products (W050701),Paper products (X010201),937.33,,,
43,BTHRM-821 1570KG,Carton,2024-08-26T13:05:19Z,,LED Light Fixtures,FALSE,,Graphic chain pack design (X030101),Advert. agency fees (X020101),660.45,,,
44,AC-323 248ML,Each,2024-05-09T17:49:36Z,,Circuit Breakers,FALSE,,,APO Services (V050401),49.15,,,
45,BTHRM-425 1733GAL,Box,2024-05-22T14:52:18Z,,Plumbing Valves,TRUE,,Cement (C020301),Paper products (X010201),715.891,,,
46,LX-826 2850GAL,Carton,2024-01-17T14:20:42Z,,Office Furniture,FALSE,,Vehicle Maintenance (M030501),,876.91,,,
47,BTHRM-448 41ML,Box,2024-08-26T13:05:19Z,,Cleaning Supplies,TRUE,,IT Equipment (T020101),Cement (C020301),765.97,,,
48,CLNR-480 31KG,Each,2023-12-09T18:13:26Z,,Packaging Materials,FALSE,,Sterile Gloves (M070101),Cement (C020301),556.555,,,
49,BTHRM-388 409ML,Each,2024-09-28T07:36:24Z,,IT Equipment,FALSE,,Advert. agency fees (X020101),,395.44,,,
50,CLNR-975 1546KG,Box,2024-10-05T23:20:22Z,,Laboratory Glassware,FALSE,,APO Services (V050401),,184.68,,,
51,BK-751 451ML,Carton,2024-02-13T18:23:13Z,,Medical PPE Supplies,TRUE,,,,523.03,,,
52,BK-706 1783GAL,Box,2024-08-17T12:31:33Z,,,TRUE,,Medical Supplies (M060101),,958.42,,,
53,PRD-426 2149OZ,Box,2024-04-05T23:36:10Z,,,FALSE,,Construction Materials (C040201),Sterile Gloves (M070101),62.49,,,
54,LX-877 2691L,Carton,2024-08-14T07:19:33Z,,,TRUE,,,Paper products (X010201),432.86,,,
55,BTHRM-440 2778OZ,Carton,2024-08-26T13:05:19Z,,"Alumina, Brown Fused",TRUE,,,,527.18,,,
56,HD-248 94L,Each,2024-04-07T13:09:32Z,,"Silica, High-Purity",TRUE,,,,91.83,,,
57,SN-704 137L,Box,2024-08-03T05:21:58Z,,Graphite Powder,FALSE,,,,222.43,,,
58,PRD-527 2089L,Carton,2023-12-18T21:41:56Z,,Silicon Carbide,FALSE,,,,318.88,,,
59,CLNR-189 1894GAL,Box,2024-01-02T22:24:41Z,,"Steel, Galvanized Sheets",FALSE,,,,224.75,,,
60,HD-611 574OZ,Each,2024-10-12T04:30:27Z,,Aluminum Ingots,FALSE,,,,833.91,,,
61,CLNR-518 104KG,Each,2024-08-26T13:05:19Z,,Copper Cathodes,TRUE,,,,847.631,,,
62,SCRUB-115 2192KG,Box,2023-12-04T15:37:21Z,,Polypropylene Resin,TRUE,,Chemicals products (W050701),Advert. agency fees (X020101),27.099,,,
63,PRD-599 1956GAL,Carton,2024-10-26T00:23:49Z,,Polyester Fiber,TRUE,,Graphic chain pack design (X030101),APO Services (V050401),811.25,,,
64,SN-216 1867OZ,Box,2024-05-23T07:11:36Z,,Activated Carbon,TRUE,,Office Supplies (W050801),Paper products (X010201),726.39,,,
65,BTHRM-618 278GAL,Box,2023-11-29T15:10:09Z,,Calcium Carbonate,yes,,Cement (C020301),,219.02,,,
66,CLNR-890 1365KG,Carton,2024-07-16T21:34:23Z,,Zinc Oxide,FALSE,,Vehicle Maintenance (M030501),Cement (C020301),204.39,,,
67,CLNR-270 1633OZ,Carton,2024-01-20T03:53:03Z,,Titanium Dioxide,FALSE,,,Cement (C020301),916.31,,,
68,SN-448 2460L,Each,2024-05-15T11:49:23Z,,Ceramic Tiles,TRUE,,Sterile Gloves (M070101),,180.83,,,
69,BK-120 1895L,Box,2024-06-10T06:36:53Z,,Plastic Granules,TRUE,,Advert. agency fees (X020101),,676.56,,,
70,SCRUB-506 2524OZ,Carton,2024-05-15T11:49:23Z,,Rubber Compounds,FALSE,,APO Services (V050401),,632.87,,,
71,PRD-680 1985ML,Box,2024-08-26T13:05:19Z,,Abrasive Grinding Wheels,TRUE,,Paper products (X010201),,366.89,,,
72,LX-751 1091L,Each,2024-08-30T19:49:32Z,,Industrial Paints,FALSE,,Medical Supplies (M060101),Sterile Gloves (M070101),350.95,,,
73,AC-487 1910GAL,Each,2024-08-26T02:27:06Z,,Wood Pellets,TRUE,,Construction Materials (C040201),Paper products (X010201),510.56,,,
74,BTHRM-252 2701OZ,Box,2024-09-18T14:17:39Z,,PVC Pipes,FALSE,,Chemicals products (W050701),Advert. agency fees (X020101),545.55,,,
75,PRD-103 769ML,Carton,2024-09-07T08:10:09Z,,Insulation Foam,FALSE,,Graphic chain pack design (X030101),APO Services (V050401),860.98,,,
76,DISINFECT-177 288L,Box,2024-02-09T20:19:23Z,,Hydraulic Fluids,FALSE,,,Paper products (X010201),434.36,,,
77,HD-521 903KG,Box,2024-08-26T15:50:31Z,,Lubricating Oils,TRUE,,Cement (C020301),,359.73,,,
78,AC-804 1806OZ,Carton,2024-08-27T01:24:04Z,,Welding Rods,FALSE,,Vehicle Maintenance (M030501),Cement (C020301),838.92,,,
79,LX-125 2922ML,Carton,2023-12-10T22:39:23Z,,Electrical Cables,TRUE,,IT Equipment (T020101),Cement (C020301),199.06,,,
80,LX-499 499OZ,Each,2024-09-02T01:35:56Z,,Industrial Adhesives,TRUE,,Sterile Gloves (M070101),,115.788,,,
81,SCRUB-660 2079GAL,Box,2024-01-04T01:30:24Z,,Stainless Steel Fasteners,TRUE,,Advert. agency fees (X020101),,668.91,,,
82,LX-554 412OZ,Carton,2024-02-20T19:04:03Z,,HVAC Filters,FALSE,,APO Services (V050401),,710.82,,,
83,HD-997 2604GAL,Box,2024-04-16T20:06:51Z,,Safety Helmets,FALSE,,,,436.82,,,
84,SCRUB-495 2080GAL,Each,2024-05-21T16:34:20Z,,Fire-Resistant Fabrics,FALSE,,Medical Supplies (M060101),Sterile Gloves (M070101),819.29,,,
85,DISINFECT-145 1100OZ,Each,2024-08-26T13:05:19Z,,Concrete Additives,FALSE,,Construction Materials (C040201),Paper products (X010201),364.27,,,
86,LX-804 1097KG,Box,2024-08-02T19:50:56Z,,Glass Wool Insulation,TRUE,,,,120.17,,,
87,AC-777 1319GAL,Carton,2024-05-29T19:20:12Z,,Roofing Shingles,TRUE,,Chemicals products (W050701),,403.56,,,
88,CLNR-242 1570L,Box,2024-10-31T18:43:08Z,,Sandpaper Rolls,TRUE,,Graphic chain pack design (X030101),,400.23,,,
89,CLNR-134 2751GAL,Box,2024-02-06T21:08:43Z,,Brass Fittings,TRUE,,Office Supplies (W050801),,152.22,,,
90,CLNR-734 775L,Carton,2024-10-03T13:23:41Z,,Tungsten Electrodes,FALSE,,Cement (C020301),,986.59,,,
91,PRD-739 250L,Carton,2024-01-11T18:04:05Z,,Industrial Solvents,FALSE,,Vehicle Maintenance (M030501),,368.93,,,
92,LX-801 2567GAL,Each,2024-02-05T12:15:13Z,,Water Treatment Chemicals,TRUE,,,Advert. agency fees (X020101),941.39,,,
93,PRD-303 1651L,Box,2024-02-20T01:33:00Z,,"Bearings, Ball-Type",TRUE,,Sterile Gloves (M070101),APO Services (V050401),914.911,,,
94,HD-411 2028KG,Carton,2024-08-25T01:05:51Z,,Chain Belts,FALSE,,Advert. agency fees (X020101),Paper products (X010201),648.46,,,
95,AC-483 2768GAL,Box,2023-12-17T14:53:31Z,,Conveyor Rollers,FALSE,,APO Services (V050401),,833.13,,,
96,DISINFECT-303 2602KG,Each,2024-06-02T08:05:36Z,,Pneumatic Tools,TRUE,,Paper products (X010201),Cement (C020301),858.267,,,
97,LX-434 1691KG,Each,2024-02-12T18:44:24Z,,LED Light Fixtures,FALSE,,Medical Supplies (M060101),Cement (C020301),138.17,,,
98,PRD-476 2922ML,Box,2024-11-07T14:28:34Z,,Circuit Breakers,TRUE,,Construction Materials (C040201),,380.57,,,
99,HD-588 1867L,Carton,2023-12-06T11:39:56Z,,Plumbing Valves,FALSE,,Chemicals products (W050701),,450.37,,,
100,LX-398 1370GAL,Box,2024-01-19T10:41:24Z,,Office Furniture,FALSE,,Graphic chain pack design (X030101),,421.895,,,
101,LX-110 2540L,Box,2024-07-14T12:54:11Z,,Cleaning Supplies,FALSE,,,,214.82,,,
102,BTHRM-746 1945GAL,Carton,2024-08-17T01:35:01Z,,Packaging Materials,TRUE,,Cement (C020301),Sterile Gloves (M070101),829.911,,,
103,PRD-753 875KG,Carton,2024-08-26T13:05:19Z,,IT Equipment,TRUE,,Vehicle Maintenance (M030501),Paper products (X010201),737.46,,,
104,SN-574 2275GAL,Each,2024-08-26T13:05:19Z,,Laboratory Glassware,FALSE,,IT Equipment (T020101),Advert. agency fees (X020101),550.69,,,
105,SN-929 819KG,Box,2024-10-16T14:13:00Z,,Medical PPE Supplies,TRUE,,Sterile Gloves (M070101),APO Services (V050401),989.89,,,
106,SN-137 599OZ,Carton,2024-08-04T20:19:46Z,,,TRUE,,Advert. agency fees (X020101),Paper products (X010201),215.03,,,
107,BK-913 984ML,Box,2024-10-16T22:47:09Z,,"Alumina, Brown Fused",TRUE,,APO Services (V050401),,853.92,,,
108,BTHRM-748 2071GAL,Each,2024-02-07T12:31:32Z,,"Silica, High-Purity",FALSE,,,Cement (C020301),88.445,,,
109,DISINFECT-676 1456ML,Each,2024-03-28T17:20:14Z,,Graphite Powder,FALSE,,Medical Supplies (M060101),Cement (C020301),735.79,,,
110,BK-461 1169GAL,Box,2024-10-15T09:43:18Z,,Silicon Carbide,FALSE,,Construction Materials (C040201),,47.83,,,
111,PRD-124 130ML,Carton,2024-09-28T02:00:01Z,,"Steel, Galvanized Sheets",FALSE,,,,547.32,,,
112,DISINFECT-722 1152ML,Box,2024-11-11T16:36:18Z,,Aluminum Ingots,TRUE,,Chemicals products (W050701),,853.66,,,
113,DISINFECT-594 1004KG,Box,2024-08-04T10:55:09Z,,Copper Cathodes,TRUE,,Graphic chain pack design (X030101),,996.53,,,
114,PRD-751 2836ML,Carton,2024-04-09T13:04:44Z,,Polypropylene Resin,FALSE,,Office Supplies (W050801),Sterile Gloves (M070101),897.55,,,
115,PRD-112 1383GAL,Carton,2024-04-17T05:46:22Z,,Polyester Fiber,TRUE,,Cement (C020301),Paper products (X010201),638.512,,,
116,CLNR-357 2143OZ,Each,2024-08-26T13:05:19Z,,Activated Carbon,TRUE,,Vehicle Maintenance (M030501),,862.08,,,
117,BTHRM-698 1597OZ,Box,2024-08-26T13:05:19Z,,Calcium Carbonate,TRUE,,,,782.93,,,
118,CLNR-191 81OZ,Carton,2024-03-29T16:42:50Z,,Zinc Oxide,TRUE,,Sterile Gloves (M070101),,509.44,,,
119,PRD-314 1179L,Box,2024-02-25T17:13:24Z,,Titanium Dioxide,FALSE,,Advert. agency fees (X020101),,902.48,,,
120,SCRUB-331 2151ML,Each,2024-04-24T16:39:12Z,,Ceramic Tiles,FALSE,,APO Services (V050401),,802.77,,,
121,LX-705 819KG,Each,2024-10-17T11:18:16Z,,Plastic Granules,FALSE,,Paper products (X010201),,964.78,,,
122,SCRUB-224 2828KG,Box,2024-05-14T09:57:01Z,,Rubber Compounds,TRUE,,Medical Supplies (M060101),,908.55,,,
123,LX-117 2350L,Carton,2024-08-03T06:45:56Z,,Abrasive Grinding Wheels,FALSE,,Construction Materials (C040201),,474.38,,,
124,LX-303 2005OZ,Box,2024-03-21T13:14:00Z,,Industrial Paints,TRUE,,Chemicals products (W050701),,552.83,,,
125,DISINFECT-863 571GAL,Box,2024-06-05T23:56:20Z,,Wood Pellets,FALSE,,Graphic chain pack design (X030101),,950.47,,,
126,SCRUB-814 1658ML,Carton,2024-03-04T06:01:13Z,,PVC Pipes,FALSE,,,,201.34,,,
127,HD-743 1164ML,Carton,2024-04-30T17:38:04Z,,Insulation Foam,FALSE,,Cement (C020301),,111.56,,,
128,SCRUB-467 960OZ,Each,2024-08-26T13:05:19Z,,Hydraulic Fluids,TRUE,,Vehicle Maintenance (M030501),,168.85,,,
129,BK-523 2151ML,Box,2024-01-04T13:21:39Z,,Lubricating Oils,FALSE,,IT Equipment (T020101),Advert. agency fees (X020101),829.16,,,
130,SN-696 1683ML,Carton,2024-08-26T13:05:19Z,,Welding Rods,TRUE,,Sterile Gloves (M070101),APO Services (V050401),738.49,,,
131,LX-124 564L,Box,2024-10-20T01:51:15Z,,Electrical Cables,TRUE,,Advert. agency fees (X020101),Paper products (X010201),525.04,,,
132,LX-255 544GAL,Each,2024-07-07T13:17:42Z,,Industrial Adhesives,TRUE,,APO Services (V050401),,912.54,,,
133,BK-323 2308ML,Each,2024-02-08T07:34:27Z,,Stainless Steel Fasteners,FALSE,,,Cement (C020301),260.23,,,
134,PRD-874 1883KG,Box,2024-08-23T08:52:38Z,,HVAC Filters,FALSE,,Medical Supplies (M060101),Cement (C020301),497.93,,,
135,BK-693 1484KG,Carton,2024-07-01T07:38:38Z,,Safety Helmets,FALSE,,Construction Materials (C040201),,528.25,,,
136,LX-420 1281KG,Box,2024-10-23T13:01:35Z,,Fire-Resistant Fabrics,FALSE,,,,964.03,,,
137,AC-771 2422OZ,Box,2024-03-25T05:28:54Z,,Concrete Additives,TRUE,,,,873.94,,,
138,DISINFECT-672 494L,Carton,2024-08-06T08:48:25Z,,Glass Wool Insulation,TRUE,,,,312.611,,,
139,LX-283 2276OZ,Carton,2024-04-20T13:04:15Z,,Roofing Shingles,FALSE,,,Sterile Gloves (M070101),354.77,,,
140,HD-720 2089L,Each,2023-12-12T09:23:28Z,,Sandpaper Rolls,TRUE,,Chemicals products (W050701),Paper products (X010201),798.02,,,
141,LX-131 2691L,Box,2024-09-10T20:17:08Z,,Brass Fittings,TRUE,,Graphic chain pack design (X030101),Advert. agency fees (X020101),520.96,,,
142,DISINFECT-522 783GAL,Carton,2024-02-15T13:17:21Z,,Tungsten Electrodes,TRUE,,Office Supplies (W050801),APO Services (V050401),937.33,,,
143,LX-896 437ML,Box,2024-08-26T13:05:19Z,,Industrial Solvents,TRUE,,Cement (C020301),Paper products (X010201),660.45,,,
144,BK-861 1014OZ,Each,2024-05-09T17:49:36Z,,Water Treatment Chemicals,TRUE,,Vehicle Maintenance (M030501),,49.15,,,
145,SN-601 2092ML,Each,2024-05-22T14:52:18Z,,"Bearings, Ball-Type",TRUE,,,Cement (C020301),715.891,,,
146,BTHRM-365 2323GAL,Box,2024-01-17T14:20:42Z,,Chain Belts,FALSE,,Sterile Gloves (M070101),Cement (C020301),876.91,,,
147,BK-780 610L,Carton,2024-08-26T13:05:19Z,,Conveyor Rollers,FALSE,,Advert. agency fees (X020101),,765.97,,,
148,SCRUB-663 247KG,Box,2023-12-09T18:13:26Z,,Pneumatic Tools,TRUE,,APO Services (V050401),,556.555,,,
149,CLNR-563 1733GAL,Box,2024-09-28T07:36:24Z,,LED Light Fixtures,TRUE,,Paper products (X010201),,395.44,,,
150,HD-314 1314OZ,Carton,2024-10-05T23:20:22Z,,Circuit Breakers,FALSE,,Medical Supplies (M060101),,184.68,,,
151,CLNR-541 211KG,Carton,2024-02-13T18:23:13Z,,Plumbing Valves,FALSE,,Construction Materials (C040201),Sterile Gloves (M070101),523.03,,,
152,SN-836 2881GAL,Each,2024-08-17T12:31:33Z,,Office Furniture,FALSE,,Chemicals products (W050701),Paper products (X010201),958.42,,,
153,HD-436 1954ML,Box,2024-04-05T23:36:10Z,,Cleaning Supplies,TRUE,,Graphic chain pack design (X030101),,62.49,,,
154,BK-672 1414OZ,Carton,2024-08-14T07:19:33Z,,Packaging Materials,TRUE,,,,432.86,,,
155,DISINFECT-117 2566ML,Box,2024-08-26T13:05:19Z,,IT Equipment,FALSE,,Cement (C020301),,527.18,,,
156,BTHRM-550 674L,Each,2024-04-07T13:09:32Z,,Laboratory Glassware,TRUE,,Vehicle Maintenance (M030501),,91.83,,,
157,AC-343 1990GAL,Each,2024-08-03T05:21:58Z,,Medical PPE Supplies,TRUE,,IT Equipment (T020101),,222.43,,,
158,SCRUB-940 1427KG,Box,2023-12-18T21:41:56Z,,,TRUE,,Sterile Gloves (M070101),,318.88,,,
159,CLNR-905 66ML,Carton,2024-01-02T22:24:41Z,,,FALSE,,Advert. agency fees (X020101),Advert. agency fees (X020101),224.75,,,
160,BK-521 722ML,Box,2024-10-12T04:30:27Z,,"Alumina, Brown Fused",FALSE,,APO Services (V050401),APO Services (V050401),833.91,,,
161,SN-779 2778OZ,Box,2024-08-26T13:05:19Z,,"Silica, High-Purity",FALSE,,,Paper products (X010201),847.631,,,
162,SN-306 1034OZ,Carton,2023-12-04T15:37:21Z,,Graphite Powder,FALSE,,Medical Supplies (M060101),,27.099,,,
163,LX-556 1202OZ,Carton,2024-10-26T00:23:49Z,,Silicon Carbide,TRUE,,Construction Materials (C040201),Cement (C020301),811.25,,,
164,CLNR-923 2036GAL,Each,2024-05-23T07:11:36Z,,"Steel, Galvanized Sheets",TRUE,,,Cement (C020301),726.39,,,
165,DISINFECT-813 1180L,Box,2023-11-29T15:10:09Z,,Aluminum Ingots,FALSE,,,,219.02,,,
166,LX-133 2607ML,Carton,2024-07-16T21:34:23Z,,Copper Cathodes,TRUE,,,,204.39,,,
167,LX-327 50GAL,Box,2024-01-20T03:53:03Z,,Polypropylene Resin,TRUE,,,,916.31,,,
168,DISINFECT-598 1481KG,Each,2024-05-15T11:49:23Z,,Polyester Fiber,TRUE,,,,180.83,,,
169,AC-107 1850OZ,Each,2024-06-10T06:36:53Z,,Activated Carbon,TRUE,,Chemicals products (W050701),Sterile Gloves (M070101),676.56,,,
170,PRD-384 1850OZ,Box,2024-05-15T11:49:23Z,,,FALSE,,Graphic chain pack design (X030101),Paper products (X010201),632.87,,,
171,PRD-684 1642GAL,Carton,2024-08-26T13:05:19Z,,,FALSE,,Office Supplies (W050801),Advert. agency fees (X020101),366.89,,,
172,LX-942 586GAL,Box,2024-08-30T19:49:32Z,,,FALSE,,Cement (C020301),APO Services (V050401),350.95,,,
173,SCRUB-557 2174L,Box,2024-08-26T02:27:06Z,,,TRUE,,Vehicle Maintenance (M030501),Paper products (X010201),510.56,,,
174,HD-355 1028KG,Carton,2024-09-18T14:17:39Z,,Plastic Granules,FALSE,,,,545.55,,,
175,CLNR-575 1592ML,Carton,2024-09-07T08:10:09Z,,Rubber Compounds,TRUE,,Sterile Gloves (M070101),Cement (C020301),860.98,,,
176,DISINFECT-172 1965KG,Each,2024-02-09T20:19:23Z,,Abrasive Grinding Wheels,TRUE,,Advert. agency fees (X020101),Cement (C020301),434.36,,,
177,DISINFECT-681 2987GAL,Box,2024-08-26T15:50:31Z,,Industrial Paints,TRUE,,APO Services (V050401),,359.73,,,
178,SCRUB-256 1577GAL,Carton,2024-08-27T01:24:04Z,,Wood Pellets,FALSE,,Paper products (X010201),,838.92,,,
179,BTHRM-789 582L,Box,2023-12-10T22:39:23Z,,PVC Pipes,FALSE,,Medical Supplies (M060101),,199.06,,,
180,SN-811 706ML,Each,2024-09-02T01:35:56Z,,Insulation Foam,TRUE,,Construction Materials (C040201),,115.788,,,
181,CLNR-900 1546KG,Each,2024-01-04T01:30:24Z,,Hydraulic Fluids,TRUE,,Chemicals products (W050701),Sterile Gloves (M070101),668.91,,,
182,BK-779 1314OZ,Box,2024-02-20T19:04:03Z,,Lubricating Oils,TRUE,,Graphic chain pack design (X030101),Paper products (X010201),710.82,,,
183,SCRUB-411 1106ML,Carton,2024-04-16T20:06:51Z,,Welding Rods,TRUE,,,,436.82,,,
184,SCRUB-676 2335KG,Box,2024-05-21T16:34:20Z,,Electrical Cables,FALSE,,Cement (C020301),,819.29,,,
185,HD-494 2605L,Box,2024-08-26T13:05:19Z,,Industrial Adhesives,FALSE,,Vehicle Maintenance (M030501),,364.27,,,
186,AC-798 1487OZ,Carton,2024-08-02T19:50:56Z,,Stainless Steel Fasteners,FALSE,,IT Equipment (T020101),,120.17,,,
187,SCRUB-454 1716ML,Carton,2024-05-29T19:20:12Z,,HVAC Filters,FALSE,,Sterile Gloves (M070101),Advert. agency fees (X020101),403.56,,,
188,SN-547 1436OZ,Each,2024-10-31T18:43:08Z,,Safety Helmets,TRUE,,Advert. agency fees (X020101),APO Services (V050401),400.23,,,
189,LX-289 2271OZ,Box,2024-02-06T21:08:43Z,,Fire-Resistant Fabrics,TRUE,,APO Services (V050401),Paper products (X010201),152.22,,,
190,DISINFECT-885 1042ML,Carton,2024-10-03T13:23:41Z,,,FALSE,,,,986.59,,,
191,CLNR-583 2163KG,Box,2024-01-11T18:04:05Z,,Glass Wool Insulation,TRUE,,Medical Supplies (M060101),Cement (C020301),368.93,,,
192,BK-190 434KG,Each,2024-02-05T12:15:13Z,,Roofing Shingles,TRUE,,Construction Materials (C040201),Cement (C020301),941.39,,,
193,LX-360 1254L,Each,2024-02-20T01:33:00Z,,Sandpaper Rolls,TRUE,,,,914.911,,,
194,AC-188 2999OZ,Box,2024-08-25T01:05:51Z,,Brass Fittings,TRUE,,,,648.46,,,
195,AC-688 2315GAL,Carton,2023-12-17T14:53:31Z,,Tungsten Electrodes,FALSE,,,,833.13,,,
196,CLNR-223 1958OZ,Box,2024-06-02T08:05:36Z,,Industrial Solvents,FALSE,,,,858.267,,,
197,CLNR-981 637KG,Box,2024-02-12T18:44:24Z,,Water Treatment Chemicals,FALSE,,,Sterile Gloves (M070101),138.17,,,
198,BK-138 1784ML,Carton,2024-11-07T14:28:34Z,,"Bearings, Ball-Type",TRUE,,,Paper products (X010201),380.57,,,
199,AC-361 1806ML,Carton,2023-12-06T11:39:56Z,,Chain Belts,FALSE,,,Advert. agency fees (X020101),450.37,,,
200,CLNR-882 2276ML,Each,2024-01-19T10:41:24Z,,Conveyor Rollers,TRUE,,,APO Services (V050401),421.895,,,
201,HD-162 1990GAL,Box,2024-07-14T12:54:11Z,,Pneumatic Tools,FALSE,,Chemicals products (W050701),Paper products (X010201),432.86,,,
